BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,ArrivalDayOfYear,TotalNights,TotalGuests,TotalPrice,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online,BookingStatus_Not_Canceled
12,44,2018,6,18,1,1,0,2,0,0,0,0,96.3,0,169,2,2,192.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
13,89,2018,7,25,1,2,0,3,0,0,0,0,137.7,0,206,3,3,413.09999999999997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14,280,2018,12,6,0,3,0,2,1,0,0,0,94.5,2,340,3,3,283.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
15,60,2017,9,21,1,1,0,2,0,0,0,0,65.0,0,264,2,2,130.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
16,43,2018,4,11,1,1,0,2,0,0,0,0,94.5,1,101,2,2,189.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
17,0,2018,10,13,0,1,0,2,0,0,0,0,155.0,1,286,1,2,155.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
18,63,2018,1,19,0,2,0,1,0,0,0,0,71.0,0,19,2,1,142.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
19,34,2018,11,14,2,5,0,1,0,0,0,0,74.8,2,318,7,1,523.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20,20,2018,9,24,2,2,0,2,0,0,0,0,101.2,0,267,4,2,404.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
21,6,2018,10,31,1,3,0,1,0,0,0,0,121.75,2,304,4,1,487.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
22,14,2018,4,29,0,1,0,2,0,0,0,0,65.0,0,119,1,2,65.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
23,6,2018,1,12,0,2,0,2,0,0,0,0,69.5,2,12,2,2,139.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
24,31,2018,11,14,2,5,0,2,0,0,0,0,64.67,1,318,7,2,452.69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
25,4,2018,10,14,0,2,0,2,1,1,0,7,0.0,1,287,2,3,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
26,53,2018,9,17,2,2,0,2,1,0,0,0,80.75,0,260,4,3,323.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
27,13,2018,1,20,2,8,0,1,0,0,0,0,75.0,0,20,10,1,750.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
28,6,2018,6,12,1,0,0,1,0,0,0,0,119.0,1,163,1,1,119.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
29,99,2018,9,12,1,2,0,2,0,0,0,0,125.1,0,255,3,2,375.29999999999995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
30,148,2018,4,29,2,7,0,2,0,0,0,0,71.37,0,119,9,2,642.33,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
31,6,2018,9,15,0,2,0,1,0,0,0,0,159.0,1,258,2,1,318.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,131,2018,4,16,2,3,0,2,0,0,0,0,82.79,2,106,5,2,413.95000000000005,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
33,308,2018,11,25,0,2,0,2,0,0,0,0,52.0,0,329,2,2,104.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34,118,2018,10,27,2,3,0,2,0,0,0,0,123.3,0,300,5,2,616.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,48,2018,9,19,1,1,0,2,0,0,0,0,135.9,1,262,2,2,271.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
36,156,2018,8,8,2,5,0,2,0,0,0,0,72.25,0,220,7,2,505.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
37,97,2017,10,19,1,2,0,2,0,0,0,0,68.65,2,292,3,2,205.95000000000002,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
38,1,2018,11,25,0,1,0,2,2,0,0,0,181.0,2,329,1,4,181.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
39,10,2018,9,11,2,1,0,2,0,0,0,0,95.0,0,254,3,2,285.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
40,80,2017,10,9,0,2,0,2,0,0,0,0,136.0,0,282,2,2,272.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
41,81,2018,3,9,0,3,0,2,0,0,0,0,67.5,1,68,3,2,202.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
42,25,2018,12,27,0,3,0,3,0,0,0,0,60.0,1,361,3,3,180.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
43,176,2018,8,9,0,3,0,3,0,0,0,0,137.7,2,221,3,3,413.09999999999997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
44,108,2018,7,16,2,5,0,2,0,0,0,0,121.37,0,197,7,2,849.59,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,433,2018,9,8,0,3,0,2,0,0,0,0,70.0,0,251,3,2,210.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,48,2017,9,11,0,1,0,1,0,0,0,0,80.0,0,254,1,1,80.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
47,141,2018,5,18,0,2,0,3,0,0,0,0,115.61,1,138,2,3,231.22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
48,1,2017,8,20,0,2,0,2,0,0,0,0,106.0,3,232,2,2,212.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
49,21,2018,2,6,0,1,0,2,0,0,0,0,91.0,0,37,1,2,91.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
50,1,2018,9,29,0,1,0,2,0,0,0,0,106.2,1,272,1,2,106.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
51,45,2018,4,13,0,2,0,2,0,0,0,0,94.5,1,103,2,2,189.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
52,1,2018,2,19,0,1,1,2,0,0,0,0,91.0,0,50,1,2,91.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
53,2,2017,11,9,1,2,0,1,0,0,0,0,79.0,0,313,3,1,237.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
54,131,2018,5,5,0,3,0,2,0,0,0,0,114.3,1,125,3,2,342.9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
55,211,2018,5,20,0,2,0,2,0,0,0,0,100.0,0,140,2,2,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
56,74,2017,9,18,0,2,0,2,0,0,0,0,109.0,2,261,2,2,218.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
57,113,2018,7,18,1,3,0,2,0,0,0,0,107.55,0,199,4,2,430.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58,4,2018,5,1,1,0,0,1,0,0,0,0,125.0,1,121,1,1,125.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
59,33,2018,10,28,2,2,0,2,0,0,0,0,109.0,1,301,4,2,436.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
60,150,2018,7,14,2,8,0,3,0,0,0,0,131.75,2,195,10,3,1317.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
61,27,2018,12,1,1,3,0,1,0,0,0,0,96.0,1,335,4,1,384.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
62,54,2018,6,3,0,1,0,2,0,0,0,0,140.4,0,154,1,2,140.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
63,87,2018,7,1,0,2,0,2,0,0,0,0,114.3,2,182,2,2,228.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
64,4,2018,2,5,2,2,0,2,0,0,0,0,81.0,0,36,4,2,324.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
65,93,2018,10,16,4,6,0,2,0,0,0,0,129.51,0,289,10,2,1295.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66,386,2018,10,23,2,0,0,2,0,0,0,0,115.0,1,296,2,2,230.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
67,0,2018,6,3,0,1,0,2,0,0,0,0,129.0,1,154,1,2,129.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
68,145,2017,8,29,2,1,0,2,0,0,0,0,94.5,0,241,3,2,283.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
69,241,2018,10,30,2,3,0,2,0,0,0,0,75.92,1,303,5,2,379.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
70,163,2018,8,26,0,2,0,2,0,0,0,0,96.3,0,238,2,2,192.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
71,71,2018,10,7,0,1,0,2,0,0,0,0,108.0,1,280,1,2,108.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
72,1,2017,12,15,0,1,0,1,0,1,0,2,75.0,0,349,1,1,75.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
73,26,2018,4,11,1,0,0,2,0,0,0,0,89.0,1,101,1,2,89.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
74,64,2018,6,19,2,2,0,2,0,0,0,0,116.1,0,170,4,2,464.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
75,292,2018,7,21,0,2,0,2,0,0,0,0,115.0,0,202,2,2,230.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
76,71,2018,6,14,0,3,0,1,0,0,0,0,120.0,0,165,3,1,360.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
77,1,2018,3,12,1,1,0,2,0,0,0,0,88.43,1,71,2,2,176.86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
78,266,2018,12,26,1,3,0,2,0,0,0,0,73.95,0,360,4,2,295.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
79,258,2018,10,16,1,0,0,2,0,0,0,0,110.0,0,289,1,2,110.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
80,10,2017,10,5,1,3,0,2,0,0,0,0,135.5,1,278,4,2,542.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
81,40,2017,10,19,1,2,0,1,0,0,0,0,75.6,0,292,3,1,226.79999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
82,129,2018,4,11,1,3,0,2,0,0,0,0,80.75,1,101,4,2,323.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
83,5,2018,7,12,0,3,0,3,0,0,0,0,187.0,1,193,3,3,561.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
84,158,2018,4,16,2,1,0,2,0,0,0,0,69.92,1,106,3,2,209.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
85,130,2018,6,27,1,2,0,2,0,0,0,0,96.3,0,178,3,2,288.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
86,42,2018,1,16,2,1,0,2,0,0,0,0,78.3,1,16,3,2,234.89999999999998,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
87,0,2018,5,24,0,1,0,1,0,0,0,0,105.34,1,144,1,1,105.34,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
88,23,2018,9,5,1,0,0,2,0,0,0,0,93.94,0,248,1,2,93.94,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,39,2018,1,17,2,0,0,2,0,0,0,0,89.3,1,17,2,2,178.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
90,179,2018,8,31,0,2,0,2,1,0,0,0,111.6,0,243,2,3,223.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
91,1,2018,1,27,0,2,0,1,0,0,0,0,71.2,0,27,2,1,142.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
92,13,2018,3,27,2,2,0,2,0,0,0,0,79.15,0,86,4,2,316.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
93,69,2017,7,12,2,0,0,2,0,0,0,0,76.5,1,193,2,2,153.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
94,69,2018,10,17,1,3,0,2,0,0,0,0,90.95,1,290,4,2,363.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
95,40,2018,8,28,2,5,0,2,1,0,0,0,127.16,0,240,7,3,890.12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
96,0,2018,7,20,0,1,0,2,0,0,0,0,0.0,0,201,1,2,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
97,82,2018,4,6,1,4,0,2,0,0,0,0,99.45,0,96,5,2,497.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
98,186,2018,8,6,2,6,0,3,0,0,0,0,130.05,2,218,8,3,1040.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
99,195,2018,8,7,2,1,0,2,0,0,0,0,99.0,1,219,3,2,297.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
100,16,2017,9,9,0,3,0,3,0,0,0,0,131.0,2,252,3,3,393.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
101,9,2018,2,24,0,2,0,1,0,0,0,0,67.22,1,55,2,1,134.44,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
102,25,2018,10,17,1,2,0,1,0,0,0,0,129.0,2,290,3,1,387.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
103,215,2018,5,4,0,4,0,1,0,0,0,0,100.8,2,124,4,1,403.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
104,5,2017,11,10,0,4,0,2,0,0,0,0,76.58,1,314,4,2,306.32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
105,15,2018,8,28,2,0,0,2,0,0,0,0,130.0,1,240,2,2,260.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
106,221,2017,10,10,2,1,0,2,0,0,0,0,65.0,0,283,3,2,195.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
107,38,2018,3,5,0,1,0,1,0,0,0,0,67.6,1,64,1,1,67.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
108,15,2018,3,4,0,2,0,3,0,0,0,0,135.0,2,63,2,3,270.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
109,99,2018,2,14,2,2,0,2,0,0,0,0,79.5,2,45,4,2,318.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
110,185,2018,12,16,1,2,0,2,0,0,0,0,103.5,0,350,3,2,310.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
111,0,2018,10,15,1,1,0,1,0,0,0,0,66.13,0,288,2,1,132.26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
112,19,2018,12,28,2,5,0,2,0,0,0,0,121.2,2,362,7,2,848.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
113,3,2017,8,18,0,2,0,2,0,0,0,0,122.0,2,230,2,2,244.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
114,41,2017,11,1,2,3,0,2,0,0,0,0,60.0,1,305,5,2,300.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
115,1,2018,2,26,0,1,0,3,0,0,0,0,127.0,0,57,1,3,127.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
116,88,2018,4,8,1,2,0,2,0,0,0,0,58.9,1,98,3,2,176.7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
117,26,2017,10,19,1,3,0,2,0,0,0,0,75.0,1,292,4,2,300.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
118,20,2018,11,1,0,3,0,2,0,0,0,0,76.0,0,305,3,2,228.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
119,54,2017,10,5,1,0,0,1,0,0,0,0,65.0,0,278,1,1,65.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
120,65,2018,9,7,0,3,0,2,0,0,0,0,136.8,0,250,3,2,410.40000000000003,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
121,259,2018,5,5,0,3,0,2,0,0,0,0,90.0,0,125,3,2,270.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,141,2018,5,15,2,2,0,2,0,0,0,0,104.55,1,135,4,2,418.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
123,65,2017,12,30,1,4,0,2,0,0,0,0,96.2,1,364,5,2,481.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
124,19,2018,9,23,1,2,0,2,0,0,0,0,139.0,1,266,3,2,417.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
125,64,2018,10,25,0,2,0,2,0,0,0,0,80.1,0,298,2,2,160.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
126,46,2018,8,28,2,4,0,2,0,0,0,0,81.31,0,240,6,2,487.86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
127,5,2018,4,4,1,1,0,1,0,0,0,0,95.0,1,94,2,1,190.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
128,7,2018,12,20,0,4,0,2,1,0,0,0,100.73,0,354,4,3,402.92,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
129,99,2018,4,5,0,3,0,2,1,0,0,0,90.63,0,95,3,3,271.89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
130,3,2017,10,19,1,2,0,1,0,0,0,0,133.0,1,292,3,1,399.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
131,55,2018,6,26,2,2,0,2,0,0,0,0,108.9,1,177,4,2,435.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
132,9,2017,12,27,2,1,0,2,0,0,0,0,103.67,1,361,3,2,311.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
133,286,2018,9,16,0,2,0,2,0,0,0,0,117.0,0,259,2,2,234.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
134,60,2018,12,23,0,1,0,2,2,0,0,0,156.6,1,357,1,4,156.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
135,84,2018,9,7,0,1,0,1,0,0,0,0,65.0,0,250,1,1,65.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
136,8,2018,3,18,2,3,0,2,2,0,0,0,214.6,0,77,5,4,1073.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
137,30,2018,1,1,0,2,0,2,0,0,0,0,92.0,1,1,2,2,184.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
138,20,2018,8,31,0,2,0,2,0,0,0,0,122.0,1,243,2,2,244.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
139,69,2018,5,9,1,4,0,1,1,0,0,0,135.15,2,129,5,2,675.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
140,305,2018,11,4,1,2,0,2,0,0,0,0,89.0,0,308,3,2,267.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
141,0,2018,3,9,0,1,0,1,0,1,2,24,65.0,1,68,1,1,65.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
142,32,2018,2,5,2,3,0,2,1,0,0,0,80.3,1,36,5,3,401.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
143,64,2018,8,29,1,4,0,2,1,0,0,0,148.5,2,241,5,3,742.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
144,33,2018,11,13,2,2,0,2,0,0,0,0,97.4,1,317,4,2,389.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
145,122,2018,4,15,0,2,0,2,0,0,0,0,85.0,0,105,2,2,170.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
146,99,2018,8,8,1,2,0,3,0,0,0,0,166.4,2,220,3,3,499.20000000000005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
147,146,2018,7,16,2,2,0,2,0,0,0,0,99.45,1,197,4,2,397.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
148,173,2018,3,31,0,3,0,2,0,0,0,0,100.8,2,90,3,2,302.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
149,4,2018,9,5,1,1,0,2,0,0,0,0,149.0,0,248,2,2,298.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
150,26,2018,8,30,0,2,0,2,0,0,0,0,122.0,2,242,2,2,244.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
151,123,2018,3,30,0,3,0,2,0,0,0,0,110.33,0,89,3,2,330.99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
152,5,2018,4,11,3,8,0,1,0,0,0,0,95.0,0,101,11,1,1045.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
153,256,2018,6,15,0,2,0,2,0,0,0,0,115.0,1,166,2,2,230.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
154,58,2018,3,21,1,3,0,2,0,0,0,0,83.3,1,80,4,2,333.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
155,0,2018,4,5,0,1,0,1,0,0,0,0,89.0,0,95,1,1,89.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
156,5,2018,11,6,2,3,0,1,0,0,0,0,113.23,1,310,5,1,566.15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
157,6,2018,9,19,1,1,0,1,0,0,0,0,129.7,0,262,2,1,259.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
158,125,2018,4,12,0,5,0,2,0,0,0,0,99.45,0,102,5,2,497.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
159,263,2018,9,29,2,4,0,2,0,0,0,0,100.3,0,272,6,2,601.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
160,220,2018,8,15,1,1,1,2,0,0,0,0,99.0,1,227,2,2,198.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
161,39,2017,8,14,0,2,0,2,0,0,0,0,109.0,0,226,2,2,218.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
162,37,2018,11,1,0,2,1,2,1,0,0,0,135.0,1,305,2,3,270.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
163,18,2018,6,2,1,3,0,2,0,0,0,0,140.9,1,153,4,2,563.6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
164,17,2018,12,29,1,3,0,2,1,0,0,0,152.1,1,363,4,3,608.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
165,124,2018,10,9,2,0,0,2,1,0,0,0,135.0,0,282,2,3,270.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
166,22,2018,9,27,0,2,0,1,0,0,0,0,133.0,1,270,2,1,266.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
167,156,2018,8,16,2,7,0,2,0,0,0,0,134.58,1,228,9,2,1211.22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
168,65,2018,4,23,0,1,0,2,0,0,0,0,118.8,1,113,1,2,118.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
169,186,2018,4,22,1,2,0,2,0,0,0,0,40.0,0,112,3,2,120.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
170,78,2018,3,25,1,2,0,2,0,0,0,0,100.0,0,84,3,2,300.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
171,50,2018,4,11,1,3,0,2,0,0,0,0,99.45,0,101,4,2,397.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
